invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-08576400023,2017-11-09,4158,Fareway Stores #409 / Carroll,709 Monterey Dr,Carroll,51401.0,POINT (-94.850616 42.065252),14.0,CARROLL,1041300.0,American Sloe Gins,434.0,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,4,32.52,4.0,1.06
INV-16617300052,2018-12-28,5416,Depot Liquor & Grocery,114 N Center St.,Marshalltown,50158.0,POINT (-92.912975 42.051619),64.0,MARSHALL,1081100.0,Coffee Liqueurs,370.0,PERNOD RICARD USA,67528,Kahlua Coffee,6,1750,24.99,37.49,3,112.47,5.25,1.38
S33157700058,2016-06-30,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314.0,POINT (-91.410401 41.918328),57.0,Linn,1081700.0,DISTILLED SPIRITS SPECIALTY,434.0,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.92,7.38,660,4870.8,660.0,174.35
INV-23689100001,2019-12-05,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77.0,POLK,1011800.0,Iowa Distillery Whiskies,566.0,"Foundry Distilling Company, LLC",926577,Glen Oaks Whiskey Buy the Barrel,6,750,19.0,28.5,66,1881.0,49.5,13.07
INV-18341600009,2019-03-25,4867,Speedy Gas N Shop,430 S 35th St,Council Bluffs,51501.0,POINT (-95.902023 41.257663),78.0,POTTAWATTA,1081100.0,Coffee Liqueurs,370.0,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,7,68.18,2.62,0.69
INV-18280700077,2019-03-21,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314.0,POINT (-91.410401 41.918328),57.0,LINN,1092100.0,Imported Distilled Spirit Specialty,434.0,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.0,7.5,900,6750.0,900.0,237.75
INV-19122600110,2019-05-02,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411.0,POINT (-91.701581 42.030129),57.0,LINN,1091200.0,Neutral Grain Spirits,434.0,LUXCO INC,41846,Everclear Alcohol,12,750,9.0,13.5,36,486.0,27.0,7.13
INV-12116400006,2018-05-16,5003,Famous Liquors,2604 W Locust St,Davenport,52804.0,POINT (-90.615542 41.538186),82.0,SCOTT,1092100.0,Imported Distilled Spirit Specialty,370.0,PERNOD RICARD USA,48690,Martell VSSD,24,200,5.99,8.99,2,17.98,0.4,0.11
S30824400027,2016-02-24,3447,Sam's Club 6432 / Sioux City,4201 S. YORK ST.,SIOUX CITY,51106.0,POINT (-96.37082 42.43407),97.0,Woodbury,1081400.0,TRIPLE SEC,434.0,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.42,3.63,144,522.72,144.0,38.04
S30984900084,2016-02-29,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT (-91.53046300000001 41.642764),52.0,Johnson,1011500.0,STRAIGHT RYE WHISKIES,255.0,Wilson Daniels Ltd.,27102,Templeton Rye,6,750,18.09,27.14,18,488.52,13.5,3.57
